SWL 5400
CJM 4224
YEY 2260
CJP 2180
SAD 2160
CJM 1500
WAA 1500
CRA 1480
FRG 1440
ZIV 1324
CRA 1140
RLH 1111
CRA 1040
CJM 1000
GOT 998
AJW 900
IOP 800
SXW 737
CJP 700
SAD 600
